section,object_name,detail_type,details
S2_columns,document_analysis.learning_path,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""learning_path"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":22,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.likely_exam_topics,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""likely_exam_topics"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":13,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.misconceptions,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""misconceptions"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":17,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.model,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""document_analysis"",""column_name"":""model"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":14,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.prerequisites,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""prerequisites"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":19,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.relationships,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""relationships"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":18,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.sections,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""sections"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":7,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.subject_area,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""document_analysis"",""column_name"":""subject_area"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":4,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.tables,column,"{""udt_name"":""jsonb"",""data_type"":""jsonb"",""table_name"":""document_analysis"",""column_name"":""tables"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""'[]'::jsonb"",""ordinal_position"":20,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,document_analysis.user_id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""document_analysis"",""column_name"":""user_id"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":3,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,documents.created_at,column,"{""udt_name"":""timestamptz"",""data_type"":""timestamp with time zone"",""table_name"":""documents"",""column_name"":""created_at"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""now()"",""ordinal_position"":7,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,documents.extracted_text,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""documents"",""column_name"":""extracted_text"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":6,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,documents.file_path,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""documents"",""column_name"":""file_path"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":4,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,documents.file_type,column,"{""udt_name"":""text"",""data_type"":""text"",""table_name"":""documents"",""column_name"":""file_type"",""is_identity"":""NO"",""is_nullable"":""YES"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":null,""ordinal_position"":5,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
S2_columns,documents.id,column,"{""udt_name"":""uuid"",""data_type"":""uuid"",""table_name"":""documents"",""column_name"":""id"",""is_identity"":""NO"",""is_nullable"":""NO"",""is_generated"":""NEVER"",""numeric_scale"":null,""column_default"":""gen_random_uuid()"",""ordinal_position"":1,""numeric_precision"":null,""identity_generation"":null,""generation_expression"":null,""character_maximum_length"":null}"
